minute,location_x,location_y,xg,home_ppda,away_ppda,home_fouls_committed,away_fouls_committed,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,total_match_fouls,total_match_cards,avg_match_ppda,pressing_intensity_score,Atmosphere_Tension_Index,NEW_OPPONENT_PPDA,NEW_IS_HIGH_TENSION,NEW_IS_LATE_GAME,NEW_TENSION_X_PPDA,NEW_FOULS_PER_PPDA,NEW_TOTAL_CARDS,is_goal,body_part_Left Foot,body_part_Right Foot,situation_From Corner,situation_Open Play,situation_Rare,situation_Set Piece
6,0.973000030517578,0.6120000076293945,0.0248957443982362,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,0,1,0,0,0
43,0.9519999694824218,0.610999984741211,0.0381928235292434,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,0,1,0,0,0
57,0.960999984741211,0.600999984741211,0.0166919473558664,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,0,1,0,0,0
72,0.906999969482422,0.5420000076293945,0.0281399451196193,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,0,689.9911111111111,1.5465116279069766,0.0,1,0,0,1,0,0,0
43,0.916999969482422,0.409000015258789,0.0900169536471366,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,1,1,0,0,0
60,0.901999969482422,0.4429999923706054,0.0366796031594276,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,0,689.9911111111111,1.5465116279069766,0.0,1,0,0,0,1,0,0
5,0.895,0.3340000152587891,0.3046077191829681,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,1,0,1,0,0
59,0.7240000152587891,0.5209999847412109,0.0169274266809225,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,0,689.9911111111111,1.5465116279069766,0.0,0,1,0,0,1,0,0
47,0.875,0.5790000152587891,0.0756939277052879,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,1,0,1,0,0
91,0.850999984741211,0.715999984741211,0.0925216823816299,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,11.0,0,1,689.9911111111111,1.5465116279069766,0.0,1,0,1,0,1,0,0
